,similarity,sentence1,sentence2
8886,entailment,Two dogs swimming.,Two dogs in water.
8887,contradiction,Young women on a retreat.,The women are running in a marathon.
8888,entailment,Young women on a retreat.,There are women relaxing.
8889,neutral,Young women on a retreat.,There are women at a yoga retreat.
8890,neutral,A crowd of people are sitting in seats in a sports ground bleachers.,The crowd of people are asian.
8891,entailment,A crowd of people are sitting in seats in a sports ground bleachers.,The crowd of people are sitting.
8892,contradiction,A crowd of people are sitting in seats in a sports ground bleachers.,The crowd of people standing and cheering.
8893,contradiction,A little girl is walking over a path of numbers.,The girl is walking on the grass.
8894,neutral,A little girl is walking over a path of numbers.,The girl is outside.
8895,neutral,A little girl is walking over a path of numbers.,She is playing hopscotch.
8896,entailment,A racing motorcycle rider has fallen off his bike and is sliding on the ground while another rider is driving behind.,There are at least two riders.
8897,contradiction,A racing motorcycle rider has fallen off his bike and is sliding on the ground while another rider is driving behind.,The rider is swimming in the middle of the ocean.
8898,neutral,A racing motorcycle rider has fallen off his bike and is sliding on the ground while another rider is driving behind.,The rider is wearing a helmet.
8899,neutral,A group of kids sitting around a table while another person holds a circle blocking out light.,The kids are playing a card game.
8900,entailment,A group of kids sitting around a table while another person holds a circle blocking out light.,The kids are sitting at a table.
8901,contradiction,A group of kids sitting around a table while another person holds a circle blocking out light.,The kids are standing single file.
8902,-,a lone motorcyclist jumping through the air in front of a large crowd.,The motor biker jumps through the crowd.
8903,neutral,a lone motorcyclist jumping through the air in front of a large crowd.,The man is wearing a helmet.
8904,contradiction,a lone motorcyclist jumping through the air in front of a large crowd.,The person is riding a horse.
8905,contradiction,A pale dog runs down a path.,A dog is laying down inside.
8906,neutral,A pale dog runs down a path.,A dog is running towards his owner
8907,entailment,A pale dog runs down a path.,A dog is outside.
8908,neutral,A man and woman sit on a park bench with a set of newlyweds behind.,A mother an father posing for wedding pictures with the newlyweds.
8909,entailment,A man and woman sit on a park bench with a set of newlyweds behind.,People outside.
8910,contradiction,A man and woman sit on a park bench with a set of newlyweds behind.,A pack of ninja turtles fighting crime.
8911,entailment,A woman in a kitchen holds a can surrounded by bowls.,The woman is holding something.
8912,contradiction,A woman in a kitchen holds a can surrounded by bowls.,The woman is in the bathroom.
8913,neutral,A woman in a kitchen holds a can surrounded by bowls.,The woman is cooking dinner.
8914,contradiction,man wearing a harmonica playing the guitar and singing,Nobody is making music.
8915,entailment,man wearing a harmonica playing the guitar and singing,A man playing instruments.
8916,neutral,man wearing a harmonica playing the guitar and singing,A great man making music.
8917,contradiction,Two construction workers sitting around a hole with a third construction worker in it.,Men are building a skyscraper.
8918,entailment,Two construction workers sitting around a hole with a third construction worker in it.,Men are working.
8919,neutral,Two construction workers sitting around a hole with a third construction worker in it.,Workers are fixing a sewage leak.
8920,contradiction,A clown making a balloon animal for a pretty lady.,An acrobat performing for a handsome man.
8921,entailment,A clown making a balloon animal for a pretty lady.,A clown making balloon shapes for a lady.
8922,neutral,A clown making a balloon animal for a pretty lady.,A clown showing off for a lady he has a crush on.
8923,entailment,A girl is throwing a football on the beach.,A girl is playing with a football.
8924,neutral,A girl is throwing a football on the beach.,A girl is on the beach with friends.
8925,contradiction,A girl is throwing a football on the beach.,A girl is trying to swim on the beach.
8926,contradiction,a bearded man takes a nap.,a bearded man sits on a bench watching squirrels.
8927,neutral,a bearded man takes a nap.,A large bearded man takes a nap on a bench.
8928,entailment,a bearded man takes a nap.,A person taking a nap.
8929,neutral,A black woman balancing a large platter on her head that has many bagged items on it.,A woman carrying her groceries home
8930,entailment,A black woman balancing a large platter on her head that has many bagged items on it.,A woman carrying things on her head.
8931,contradiction,A black woman balancing a large platter on her head that has many bagged items on it.,A woman lugging things over her back
8932,entailment,A young girl throws sand toward the ocean.,The girl is tossing sand into the ocean
8933,contradiction,A young girl throws sand toward the ocean.,the girl is eating Hershey kisses inside
8934,neutral,A young girl throws sand toward the ocean.,The girl can't stand the ocean
8935,contradiction,Older lady checking out her goods at the check-out counter.,A woman is sitting on her bed.
8936,neutral,Older lady checking out her goods at the check-out counter.,A woman is buying goods for a party.
8937,neutral,Older lady checking out her goods at the check-out counter.,A woman is out shopping.
8938,contradiction,A dog is running through an obstacle course in front of a group of people.,A dog is asleep
8939,entailment,A dog is running through an obstacle course in front of a group of people.,A dog is showcasing its agility
8940,neutral,A dog is running through an obstacle course in front of a group of people.,A dog is competing in a contest
8941,entailment,A cabin shot of a very crowded airplane,The airplane is quite crowded.
8942,neutral,A cabin shot of a very crowded airplane,The airplane is in the sky.
8943,contradiction,A cabin shot of a very crowded airplane,The airplane is empty.
8944,contradiction,Three people on a beach.,The people are asleep in their bedroom.
8945,neutral,Three people on a beach.,The people are wearing shorts.
8946,entailment,Three people on a beach.,The people each have one head.
8947,neutral,"Three men stand on the beach, fully clothed.",Three men by the ocean.
8948,contradiction,"Three men stand on the beach, fully clothed.",Three naked men in the ocean.
8949,neutral,"Three men stand on the beach, fully clothed.",Three men by the beach in the rain.
8950,entailment,"A man in his 30's is sitting on a curb of a busy sidewalk, dressed in a furry green costume.",A costumed figure is sitting on the curb.
8951,neutral,"A man in his 30's is sitting on a curb of a busy sidewalk, dressed in a furry green costume.",The man just lost his job playing Oscar the Grouch at Sesame Place because he kicked a child.
8952,contradiction,"A man in his 30's is sitting on a curb of a busy sidewalk, dressed in a furry green costume.",The man really has furry green skin.
8953,contradiction,A couple of friends have a drink.,Two women are swimming underwater.
8954,neutral,A couple of friends have a drink.,Two men are at a bar.
8955,entailment,A couple of friends have a drink.,Two people are drinking.
8956,entailment,A pedestrian adjusting shoes and accessories.,The person walking is making adjustments to their shoes and accessories.
8957,neutral,A pedestrian adjusting shoes and accessories.,The pedestrian is out for a nice walk.
8958,contradiction,A pedestrian adjusting shoes and accessories.,The pedestrian is only wearing socks.
8959,neutral,A woman in red shorts is writing on a tablet.,A woman is taking notes.
8960,contradiction,A woman in red shorts is writing on a tablet.,A woman is swimming in a pool.
8961,neutral,A woman in red shorts is writing on a tablet.,A woman is writing a letter to her mother.
8962,contradiction,A girl with a balloon animal in her left hand looks up as a person on stilts leans down to show the girl something.,A girl is swimming in a pool.
8963,entailment,A girl with a balloon animal in her left hand looks up as a person on stilts leans down to show the girl something.,A girl is holding a balloon animal while a person is showing her something.
8964,neutral,A girl with a balloon animal in her left hand looks up as a person on stilts leans down to show the girl something.,Someone is showing a girl something at the circus.
8965,entailment,"A man sitting at a desk, repairing antique typewriters.",a repair man works
8966,entailment,"A man sitting at a desk, repairing antique typewriters.",a man sits
8967,contradiction,"A man sitting at a desk, repairing antique typewriters.",a man jumps
8968,contradiction,A race cars muffler catches on fire.,The car is perfectly fine
8969,entailment,A race cars muffler catches on fire.,There is a fire
8970,neutral,A race cars muffler catches on fire.,The car was sabotaged
8971,neutral,A person is kneeling between two horses,A kneeling cowboy and two of the wild horses he just caught drink from a pool of water.
8972,entailment,A person is kneeling between two horses,There is a person and two horses.
8973,contradiction,A person is kneeling between two horses,A person is standing between two cows.
8974,contradiction,"A blond guitarist, dressed all in black, performs.",A blond is pulling a book off the shelf at the library.
8975,entailment,"A blond guitarist, dressed all in black, performs.",A person is playing the guitar.
8976,neutral,"A blond guitarist, dressed all in black, performs.",A person is performing for a screaming audience of fans.
8977,entailment,A man and a woman stare at the skyline.,The two people are looking outside.
8978,contradiction,A man and a woman stare at the skyline.,The man and woman are staring into each others' eyes.
8979,neutral,A man and a woman stare at the skyline.,The man and woman are holding hands.
8980,entailment,"A band performs beneath colorful stage lights, the bass player singing into the microphone while the guitarist and drummer play in the background.",a group of musicians mke music on stage
8981,neutral,"A band performs beneath colorful stage lights, the bass player singing into the microphone while the guitarist and drummer play in the background.",a group of metal musicians play hardcore music
8982,contradiction,"A band performs beneath colorful stage lights, the bass player singing into the microphone while the guitarist and drummer play in the background.",twelve dwarves sing a sogn
8983,contradiction,A lady dances in a polka dot dress and a head of flowers with a fan clasped in her hand while others are looking in a different direction with two men holding onto a ladder and others discussing.,A woman works on a new porch.
8984,neutral,A lady dances in a polka dot dress and a head of flowers with a fan clasped in her hand while others are looking in a different direction with two men holding onto a ladder and others discussing.,A woman dances while a group of people purposely ignore her.
8985,entailment,A lady dances in a polka dot dress and a head of flowers with a fan clasped in her hand while others are looking in a different direction with two men holding onto a ladder and others discussing.,A woman dances with a fan.
8986,neutral,Young lady during a performance of modern dance.,The young lady is working out.
8987,neutral,Young lady during a performance of modern dance.,The lady is asian.
8988,entailment,Young lady during a performance of modern dance.,The lady is dancing.
8989,neutral,"A young man with a plain shirt looking down, with a band and dancing people behind him.",A man performing in a play looks down at the audiance as the band and dancers move in the background.
8990,entailment,"A young man with a plain shirt looking down, with a band and dancing people behind him.",A man looking down at something as a band and dancing people form behind him.
8991,contradiction,"A young man with a plain shirt looking down, with a band and dancing people behind him.",A young man sleeping in a hammock.
8992,contradiction,An Asian woman stands along a road where 2 buses have passed holding her bags.,The woman is american.
8993,contradiction,An Asian woman stands along a road where 2 buses have passed holding her bags.,The Asian woman is singing.
8994,entailment,An Asian woman stands along a road where 2 buses have passed holding her bags.,There is a Asian woman.
8995,contradiction,A group of people walk up a ramp on a cloudy day.,The people are running.
8996,neutral,A group of people walk up a ramp on a cloudy day.,The people are walking up the ramp to a store.
8997,entailment,A group of people walk up a ramp on a cloudy day.,The people are walking.
8998,entailment,Man working behind a watch repair booth on the street.,A man is working behind the small business on the street.
8999,contradiction,Man working behind a watch repair booth on the street.,A lady is selling jewelry at the flea market.
9000,neutral,Man working behind a watch repair booth on the street.,A man is painting the outside of a watch repair booth.
9001,neutral,A group at an outdoor party includes a man wearing camouflage pants with neon orange boots and suspenders.,The group is wearing bright clothing.
9002,entailment,A group at an outdoor party includes a man wearing camouflage pants with neon orange boots and suspenders.,The group at the party is outside.
9003,contradiction,A group at an outdoor party includes a man wearing camouflage pants with neon orange boots and suspenders.,The group is inside the recording studio.
9004,entailment,This car is leaving a dust trail as it travels along a dirt road in a wooded area.,A car is traveling along a dirt road.
9005,-,This car is leaving a dust trail as it travels along a dirt road in a wooded area.,A car is leaving a dust trail on a derby car race.
9006,contradiction,This car is leaving a dust trail as it travels along a dirt road in a wooded area.,"A car is sitting in the shop, waiting for a mechanic to fix a part."
9007,neutral,A band of people playing brass instruments is performing outside.,A jazz funeral is taking place.
9008,contradiction,A band of people playing brass instruments is performing outside.,A barbershop singing group is performing at a gymnasium.
9009,entailment,A band of people playing brass instruments is performing outside.,A group of people have instruments.
9010,entailment,A man in a red shirt is curled up on pavement outdoors.,a man curled on the pavement
9011,contradiction,A man in a red shirt is curled up on pavement outdoors.,a man curling weights at the gym
9012,neutral,A man in a red shirt is curled up on pavement outdoors.,a man curled on the pavement because he is injured
9013,entailment,"Four women in front of Odeon wear similar black, pink and white superman type shirts and jean skirts.",Four women are wearing jean skirts outside of a cinema.
9014,neutral,"Four women in front of Odeon wear similar black, pink and white superman type shirts and jean skirts.",Four women are looking at their cellphones while the wait in a long line.
9015,contradiction,"Four women in front of Odeon wear similar black, pink and white superman type shirts and jean skirts.",Four women in dresses are standing near a cocktail table at a rooftop party.
9016,contradiction,A man in a black hoodie watching a man in a red cap.,There is a man in a white hoodie watching a man in a blue cap.
9017,entailment,A man in a black hoodie watching a man in a red cap.,There is a man watching another man.
9018,neutral,A man in a black hoodie watching a man in a red cap.,The man in the black hoodie is a robber.
9019,entailment,A man operates a piece of earth-moving equipment near a waterway.,A man is operating a machine
9020,entailment,A man operates a piece of earth-moving equipment near a waterway.,The man is working outside
9021,contradiction,A man operates a piece of earth-moving equipment near a waterway.,The man is eating lunch
9022,neutral,A bridal party assembles outside a stone building.,A bridal party gets together outside a stone building during the weekend.
9023,entailment,A bridal party assembles outside a stone building.,A bridal party is bathering outside a stone building.
9024,contradiction,A bridal party assembles outside a stone building.,A farmer takes a cow through a wooden gate.
9025,entailment,Two men kayaking on the ocean near the shore while they fish.,There are two men in kayaks.
9026,contradiction,Two men kayaking on the ocean near the shore while they fish.,Two women are on surfboards far from shore.
9027,neutral,Two men kayaking on the ocean near the shore while they fish.,There are two men in shallow water in kayaks.
9028,contradiction,The person is standing in the doorway beneath the tree.,"In a wide open, treeless field, an elephant is being chased by a mouse."
9029,neutral,The person is standing in the doorway beneath the tree.,There is a salesman at the door.
9030,entailment,The person is standing in the doorway beneath the tree.,A person is under a doorway where there is a tree.
9031,neutral,"The Rockettes perform on the street in front of Radio City Music Hall, as well as next to a cop car.",The performance was exiting.
9032,entailment,"The Rockettes perform on the street in front of Radio City Music Hall, as well as next to a cop car.",The Rockettes are near a cop car.
9033,contradiction,"The Rockettes perform on the street in front of Radio City Music Hall, as well as next to a cop car.",The car is a food truck.
9034,entailment,A man hanging outside with a rope harness paints a structure's exterior wall with blue paint.,A man painting outside.
9035,contradiction,A man hanging outside with a rope harness paints a structure's exterior wall with blue paint.,A man washing his car in the drive way.
9036,neutral,A man hanging outside with a rope harness paints a structure's exterior wall with blue paint.,A man painting his father in-laws home.
9037,neutral,"A woman dressed in a black sweater, blue jeans, and golden high heel boots is looking a merchandise in a storefront window.",A woman is standing in store.
9038,neutral,"A woman dressed in a black sweater, blue jeans, and golden high heel boots is looking a merchandise in a storefront window.",A woman is window shopping for purses.
9039,entailment,"A woman dressed in a black sweater, blue jeans, and golden high heel boots is looking a merchandise in a storefront window.",A woman is window shopping.
9040,contradiction,A group of young men are raking lives in front of a home.,The men are watering roses
9041,entailment,A group of young men are raking lives in front of a home.,Men are doing yard work
9042,neutral,A group of young men are raking lives in front of a home.,The men are tired
9043,neutral,"A woman, whose face can only be seen in a mirror, is applying eyeliner in a dimly lit room.",A woman is getting ready for her performance in the dressing room.
9044,contradiction,"A woman, whose face can only be seen in a mirror, is applying eyeliner in a dimly lit room.",A man is playing softball.
9045,entailment,"A woman, whose face can only be seen in a mirror, is applying eyeliner in a dimly lit room.",A woman is applying eyeliner in a dimly lit room.
9046,neutral,A group of men are playing basketball as the sun sets.,A couple men are on a basketball court.
9047,contradiction,A group of men are playing basketball as the sun sets.,A group of men are sitting in a group.
9048,neutral,A group of men are playing basketball as the sun sets.,There are two men with a basketball.
9049,entailment,"Torch-bearing runner, about to be photographed by onlooker, enjoys the smiles and shouts of the crowd.",The runner has a torch.
9050,contradiction,"Torch-bearing runner, about to be photographed by onlooker, enjoys the smiles and shouts of the crowd.",The runner hates the crowd.
9051,neutral,"Torch-bearing runner, about to be photographed by onlooker, enjoys the smiles and shouts of the crowd.",The runner is an olympian.
9052,contradiction,This boy is in deep concentration playing a game of ping-pong.,The boy slept while playing a game
9053,entailment,This boy is in deep concentration playing a game of ping-pong.,Boy plays a game so sincerely
9054,neutral,This boy is in deep concentration playing a game of ping-pong.,The boy crossed several levels by playing with sincerity and full concentration
9055,neutral,Four girls and a lady learning how to do some crafts.,Crafts are being done poorly.
9056,entailment,Four girls and a lady learning how to do some crafts.,Crafts are being done.
9057,contradiction,Four girls and a lady learning how to do some crafts.,Two men spin so fast they take flight.
9058,contradiction,A group of people play a game in the road.,a boat out of the water
9059,neutral,A group of people play a game in the road.,people playing a game on a hot summer day
9060,entailment,A group of people play a game in the road.,people playing a game
9061,neutral,A redheaded woman walking across the street.,A woman is walking towards her car.
9062,entailment,A redheaded woman walking across the street.,A woman is outside.
9063,contradiction,A redheaded woman walking across the street.,The redheaded woman is at the salon dying her hair brunette.
9064,entailment,Two Asian women talking and having drinks at a small round table.,Two ladies are sitting together at the table.
9065,neutral,Two Asian women talking and having drinks at a small round table.,Two ladies are having lunch on the restaurant patio.
9066,contradiction,Two Asian women talking and having drinks at a small round table.,Two ladies are sitting at the bar.
9067,neutral,Two ladies are sitting in the restaurant talking and laughing.,Sisters have their weekly lunch together.
9068,contradiction,Two ladies are sitting in the restaurant talking and laughing.,A pair of women go bowling.
9069,entailment,Two ladies are sitting in the restaurant talking and laughing.,Women are indoors.
9070,contradiction,An elderly woman crafts a design on a loom.,The woman is making pizza.
9071,neutral,An elderly woman crafts a design on a loom.,The woman is a seamstress.
9072,neutral,An elderly woman crafts a design on a loom.,The woman is sewing.
9073,entailment,A group of people engaged in some sort of outdoor gathering or ritual.,People gathering outdoors for a ceremony.
9074,contradiction,A group of people engaged in some sort of outdoor gathering or ritual.,People hiding in bushes to scare little children.
9075,neutral,A group of people engaged in some sort of outdoor gathering or ritual.,People gathering to pray for a friend.
9076,neutral,"A small group of young black men, some in traditional African dress, are assembled outdoors.",They are performing a religious ceremony.
9077,entailment,"A small group of young black men, some in traditional African dress, are assembled outdoors.",Some black men are outdoors.
9078,contradiction,"A small group of young black men, some in traditional African dress, are assembled outdoors.",The men are playing ice hockey.
9079,contradiction,"Two men dressed in identical white jackets with green numbers and logo are studying something on a cellphone with great interest, while other men, identically dressed and standing in a group with these two, are interested in something to their right.",Three men in short sleeved shirts are cheering for a bike race.
9080,-,"Two men dressed in identical white jackets with green numbers and logo are studying something on a cellphone with great interest, while other men, identically dressed and standing in a group with these two, are interested in something to their right.","Three men in matching white jackets are standing together, two looking at a cellphone, one looking at something else."
9081,neutral,"Two men dressed in identical white jackets with green numbers and logo are studying something on a cellphone with great interest, while other men, identically dressed and standing in a group with these two, are interested in something to their right.","Three men in matching jackets are standing together, one looking at a nearby person, the other two looking at a phone."
9082,contradiction,A busy kitchen preparing for the afternoon rush.,They are on motorcycles.
9083,neutral,A busy kitchen preparing for the afternoon rush.,They are cooking.
9084,neutral,A busy kitchen preparing for the afternoon rush.,They are making lunch.
9085,entailment,Chef's working in a kitchen.,"There is one person in this picture, and they are inside and working."
9086,contradiction,Chef's working in a kitchen.,"The chef is running out of the kitchen as flames engulf his kitchen, smoke alarms sounding."
9087,neutral,Chef's working in a kitchen.,"The chef is world-famous, and is trying out new recipes to possibly include in her next cookbook."
9088,neutral,A man wearing a pink shirt and wearing glasses crouching down in front of a basket of clothing at the laundromat.,He is wearing red shorts.
9089,entailment,A man wearing a pink shirt and wearing glasses crouching down in front of a basket of clothing at the laundromat.,A man is wearing a pink shirt.
9090,contradiction,A man wearing a pink shirt and wearing glasses crouching down in front of a basket of clothing at the laundromat.,He wears contact lens.
9091,contradiction,A black dog leaps from the water near a wooded shoreline,dog is playing baseball
9092,entailment,A black dog leaps from the water near a wooded shoreline,a dog leaps out of the water
9093,neutral,A black dog leaps from the water near a wooded shoreline,dog leaping from a snake
9094,neutral,"Three people in t-shirt, yellow helmets and harnesses begin to climb ladder.",Three people climb a ladder to rescue soemone.
9095,contradiction,"Three people in t-shirt, yellow helmets and harnesses begin to climb ladder.",Three people walk up the stairs.
9096,entailment,"Three people in t-shirt, yellow helmets and harnesses begin to climb ladder.",Three people climb a ladder.
9097,neutral,A boy on a skateboard ramp.,The boy is doing a skateboard trick
9098,contradiction,A boy on a skateboard ramp.,The girl is waiting on her bike
9099,entailment,A boy on a skateboard ramp.,There is a boy on a ramp
9100,neutral,Two people sitting on a bench by the water with a dog.,Two people are enjoying a day with their dog
9101,contradiction,Two people sitting on a bench by the water with a dog.,Two people are doing squats
9102,entailment,Two people sitting on a bench by the water with a dog.,Two people are sitting on a bench
9103,entailment,A man is playing with a baby on a deck.,A man plays with a baby.
9104,contradiction,A man is playing with a baby on a deck.,A man plays with a dog.
9105,neutral,A man is playing with a baby on a deck.,A man plays with his son.
9106,neutral,A woman is holding a dog on a leash in front of a small pier.,The little dog is restrained by the woman holding the leash
9107,contradiction,A woman is holding a dog on a leash in front of a small pier.,The woman is swimming laps at the pool
9108,neutral,A woman is holding a dog on a leash in front of a small pier.,The woman holds the leash to prevent the little dog chasing the cat
9109,contradiction,A man on stage holds a hello kitty guitar and looks to the right of the picture.,The man doesn't have anything in his hands.
9110,entailment,A man on stage holds a hello kitty guitar and looks to the right of the picture.,The man is holding an instrument in his hands.
9111,neutral,A man on stage holds a hello kitty guitar and looks to the right of the picture.,The man is performing in a concert.
9112,entailment,A street filled with people walking and riding bikes.,A street filled with people.
9113,contradiction,A street filled with people walking and riding bikes.,An empty street usually filled with people walking and riding bikes.
9114,neutral,A street filled with people walking and riding bikes.,A market street filled with people walking and riding bikes.
9115,neutral,Two men and one woman are performing music on a stage.,Musicians are spreading their passion on stage
9116,contradiction,Two men and one woman are performing music on a stage.,The stage is extremely quiet
9117,entailment,Two men and one woman are performing music on a stage.,Three musicians are performing at a concert
9118,contradiction,A group of people on the beach with cameras.,People are standing in a rain forest.
9119,neutral,A group of people on the beach with cameras.,People are on a beach in Oregon.
9120,entailment,A group of people on the beach with cameras.,People are on a beach.
9121,entailment,A mother pushing a stroller and holding the hand of a toddler.,A mother is walking with a child.
9122,neutral,A mother pushing a stroller and holding the hand of a toddler.,There is a baby girl in the stroller.
9123,contradiction,A mother pushing a stroller and holding the hand of a toddler.,The mother is carrying groceries in both hands.
9124,contradiction,A man in a beanie doing a bike trick.,The man is drinking.
9125,neutral,A man in a beanie doing a bike trick.,The man is upside down.
9126,entailment,A man in a beanie doing a bike trick.,The man is riding a bike.
9127,contradiction,Two people here are wearing something around their necks.,A man has nothing around his neck.
9128,neutral,Two people here are wearing something around their necks.,Two women have scarves on.
9129,entailment,Two people here are wearing something around their necks.,People are wearing something.
9130,neutral,Man reading a book while working as a street vendor.,A man reads a book about sports while working.
9131,neutral,Man reading a book while working as a street vendor.,A man takes a break from his job to read.
9132,contradiction,Man reading a book while working as a street vendor.,A man flies a kite.
9133,entailment,A woman is riding a bike as a child rides on the back of the bike.,A woman is riding a bike as a kid rides on the back.
9134,-,A woman is riding a bike as a child rides on the back of the bike.,A woman is flying on a bike with a child on the back.
9135,contradiction,A woman is riding a bike as a child rides on the back of the bike.,A woman is sitting on a bench.
9136,neutral,Seagulls are flying above the crashing waves.,The seagulls are trying to find a place to land after the huge storm.
9137,entailment,Seagulls are flying above the crashing waves.,There are flying animals in this picture.
9138,contradiction,Seagulls are flying above the crashing waves.,"The seagulls rest on the beach, heads under wings sleeping."
9139,entailment,People are talking to a camera crew with video and microphone.,People are talking to others.
9140,neutral,People are talking to a camera crew with video and microphone.,People are talking to the camera crew on the street.
9141,contradiction,People are talking to a camera crew with video and microphone.,People are talking to the choir.
9142,neutral,A group of women observe as two men attempt to fix their bikes.,Three women observe as several men attempt to fix bikes.
9143,entailment,A group of women observe as two men attempt to fix their bikes.,Several women watch as two men work on bikes.
9144,contradiction,A group of women observe as two men attempt to fix their bikes.,The women fix bikes as men watch.
9145,contradiction,A young boy with his mum going home after playing toy games.,A boy is in the water playing with his mum.
9146,entailment,A young boy with his mum going home after playing toy games.,A boy is with his mum.
9147,neutral,A young boy with his mum going home after playing toy games.,A child is with his mum and crying.
9148,contradiction,A father with a red shirt and beard is cuddling with his two children in a chair.,"A father drowns his two children, since he hates his life."
9149,entailment,A father with a red shirt and beard is cuddling with his two children in a chair.,There are three people inside.
9150,neutral,A father with a red shirt and beard is cuddling with his two children in a chair.,"A father reads to his children, as they slowly doze off."
9151,entailment,A man holding his two adorable babies.,A man has more than one child.
9152,neutral,A man holding his two adorable babies.,A man is holding his babies while posing for a picture.
9153,contradiction,A man holding his two adorable babies.,A man is childless.
9154,neutral,"Woman dressed in red holding two fans, one red and one black.",There is a woman dressed in red that is warm and fanning herself
9155,neutral,"Woman dressed in red holding two fans, one red and one black.",A woman in red is trying to give away fans
9156,entailment,"Woman dressed in red holding two fans, one red and one black.",A woman clad in red holds a red and black fan
9157,entailment,Two dogs playing on snow covered ground,Dogs are playing on snow.
9158,contradiction,Two dogs playing on snow covered ground,The dogs are playing in grass.
9159,neutral,Two dogs playing on snow covered ground,The dogs are both brown.
9160,contradiction,A man in a black shirt holds a smiling baby while another person in a blue shirt stands in the foreground.,A woman holds a happy baby while another person stands nearby.
9161,contradiction,A man in a black shirt holds a smiling baby while another person in a blue shirt stands in the foreground.,A man and a woman are changing a baby's diaper.
9162,neutral,A man in a black shirt holds a smiling baby while another person in a blue shirt stands in the foreground.,A wife holds the baby while her husband stands nearby.
9163,contradiction,A man with a black shirt holds a baby while a blue shirted individual faces them.,A darkly dressed man passes a crying baby to a man in light colored clothes.
9164,contradiction,A man with a black shirt holds a baby while a blue shirted individual faces them.,"A man sits all alone on a park bench, arms folded."
9165,entailment,A man with a black shirt holds a baby while a blue shirted individual faces them.,One person faces another person who's holding a baby.
9166,neutral,A man in blue with a black hat with a dog leaping at him in a park-like setting.,A man in a black hat spending time with his dog beneth tree in a park.
9167,contradiction,A man in blue with a black hat with a dog leaping at him in a park-like setting.,A man sits in a chair as his dog sleeps beside him.
9168,entailment,A man in blue with a black hat with a dog leaping at him in a park-like setting.,A man in blue playing with his dog outside in a park.
9169,contradiction,Elderly woman with green sweater picking out produce in outdoor market.,The elderly lady is dead in a coffin
9170,neutral,Elderly woman with green sweater picking out produce in outdoor market.,The lady is buying some avocados and lettuces
9171,entailment,Elderly woman with green sweater picking out produce in outdoor market.,The elderly lady is at the market
9172,contradiction,"A man cooks chicken on the grill, while others enjoy food in the background.",A man cooks steak on a hot plate alone.
9173,neutral,"A man cooks chicken on the grill, while others enjoy food in the background.","A man in a chef hat cooks chicken on a red grill, while other men are eating and giving thumbs up in the background."
9174,entailment,"A man cooks chicken on the grill, while others enjoy food in the background.",A human cooks food while others consume food in the background.
9175,entailment,A group of people standing on rafts with a waterfall in the background.,A group of people stand on rafts.
9176,contradiction,A group of people standing on rafts with a waterfall in the background.,A group of people swim fast from a shark.
9177,neutral,A group of people standing on rafts with a waterfall in the background.,A group of people standing on blue and white rafts.
9178,entailment,Several black children sit at a table with colorful laptops in front of them.,A group black children sit at a table with their new colorful laptops.
9179,entailment,Several black children sit at a table with colorful laptops in front of them.,A group of black children with colorful laptops are sitting at a table.
9180,contradiction,Several black children sit at a table with colorful laptops in front of them.,A white dog running in the snow.
9181,entailment,Two dogs play together on the bed.,Dogs playing on bed.
9182,entailment,Two dogs play together on the bed.,Two dogs wrestling with a sheet on a bed.
9183,contradiction,Two dogs play together on the bed.,"Dogs laying down on the floor, motionless."
9184,entailment,A person in a blue sweatshirt replaces letters in a theater marquee using a long pole.,A person is working.
9185,contradiction,A person in a blue sweatshirt replaces letters in a theater marquee using a long pole.,A person works on perfecting his golf swing.
9186,entailment,A person in a blue sweatshirt replaces letters in a theater marquee using a long pole.,"A person replaces letters on a marquee, as to not embarrass the theater for it."
9187,contradiction,Two people are walking up a mountain.,Two dogs are walking up a mountain.
9188,neutral,Two people are walking up a mountain.,Two sad people are walking up a mountain.
9189,entailment,Two people are walking up a mountain.,People are walking up a mountain.
9190,contradiction,A woman in a striped shirt posing for the camera while another woman holding a drink looks on.,Another woman is eating a sandwich.
9191,neutral,A woman in a striped shirt posing for the camera while another woman holding a drink looks on.,The woman is posing for a magazine.
9192,entailment,A woman in a striped shirt posing for the camera while another woman holding a drink looks on.,The woman looks on as she holds a drink.
9193,-,A man wearing a horned hat poses for a picture.,A man wearing a horned hat is unwittingly photographed
9194,neutral,A man wearing a horned hat poses for a picture.,A man wearing a horned hat smiles and poses for a photograph
9195,entailment,A man wearing a horned hat poses for a picture.,A man wearing a horned hat poses for a photograph
9196,neutral,"While drinking a coupe of Red Stripe beers, a man with a gray t-shirt speaks to another man wearing a blue button up shirt.",A man is drinking at a social gathering
9197,entailment,"While drinking a coupe of Red Stripe beers, a man with a gray t-shirt speaks to another man wearing a blue button up shirt.",A man is drinking beers
9198,contradiction,"While drinking a coupe of Red Stripe beers, a man with a gray t-shirt speaks to another man wearing a blue button up shirt.",While drinking beer a man is dancing with another man
9199,contradiction,Woman sitting at a park bench reading a book.,the woman is driving down the road.
9200,neutral,Woman sitting at a park bench reading a book.,The woman is waiting on a friend.
9201,entailment,Woman sitting at a park bench reading a book.,the woman is sitting in the park.
9202,neutral,"Children with painted red faces being sprayed with water, on grass.",The children are playing a game.
9203,entailment,"Children with painted red faces being sprayed with water, on grass.",Children have painted faces.
